tl,en
"""In Procedural Order No. 2, the Arbitral Tribunal fixes 15 December 2014 as the date for China to submit its Counter-Memorial responding to the PhilippinesaEUR(tm) Memorial,"" sabi ng korte.","""In Procedural Order No. 2, The Arbitral Tribunal Fixes 15 December 2014 AS THE DATE FOR CHINA TO SUBMIT ITS COUNTER-MEMORIAL RESPONDING TO THE PHILIPPINESAEUR (TM) Memorial,"" said the Court."
"MANILA, Philippines - Umaabot sa 1.3 milyong mga Pinoy na karamihan ay mga kabataan ang lulong sa droga.","Manila, Philippines - It takes 1.3 million Pinoys most young people are drugs."
Sinabi kahapon ni Presidential Spokesman Harry Roque na tinatanggap nila na hamon ang resulta ng survey at sisikapin pang makarating sa mamamayan ang bunga ng pag-unlad ng ekonomiya.,The Presidential Spokesman Harry Roque said yesterday that they accept that the survey results are challenging and will try to get to the people the consequences of economic growth.
Instrumental Intensities:,Instrumental intensities:
"MANILA, Philippines -- Pansamantalang isinara ang emergency room (ER) ng Philippine General Hospital (PGH) sa Taft Avenue, Maynila nitong Biyernes upang magbigay daan sa pagsasaayos ng pasilidad. Sampung buwan din ang itatagal ng pagsasaayos ng ER na bahagi ng infrastructure development ng ospital.","Manila, Philippines - The Emergency Room (ER) of the Philippine General Hospital (PGH) temporarily closed to Taft Avenue, Manila on Friday to give way to the facility adjustment. It is also ten months of an ER adjustment part of hospital infrastructure development."
"Ayon sa ulat, dakong alas-4:10 nang mada-ling-araw nang magsi-mulang isilbi ng pinagsanib na puwersa ng pulisya sa pangunugna ng CIDG ang search warrant laban sa suspek sa kanilang bahay sa Brgy. San Rafael, Isabelita, Basilan dahil umano sa pag-iingat nito ng mga pampasabog.","According to the report, at 4:10 pm in the day when the cidg police force will be served to serve the search warrant against the suspect against the suspect in their home in Brgy. San Rafael, Isabelita, Basilan because of its preservation of explosives."
"Giit ni Manalo, ang umano'y krimen ni Duterte ay nangyari noong alkalde pa siya ng Davao kaya hindi ito maaaring maging basehan ng isang impeachment complaint.","Ginus, the alleged crime of Duterte happened when he was still of Davao may not be the basis of an impeachment complaint."
"Idinagdag pa ni Aleta na:aEURoeWe donaEUR(tm)t know where the money went, who saved it,aEUR nang tanuAngin kung may hawak na ebidensiya ang gobyerno para patunayang may aEURoeill-gotten wealthaEUR ang mga nasasakdal.","Aleta added: Aeureewe Donaeur (TM) T Know WHERE THE MONEY WENT, WHO SAVED IT, AEUR SAFETY If the government holds evidence to prove that there is aeuroeill-gotten wealthaeur the defendants."
"Kaugnay nito, ayon pa sa opisyal ay minobilisa na ni 4th ID Commander Major Gen. Benjamin Madrigal ang 30th Infantry Battalion ng Army para magsagawa ng rescue operations sa mga lugar na napinsala ng lindol sa lungsod at iba pang bahagi ng Surigao del Norte.","In turn, according to the officer is a minobilisa of the 4th ID Commander Major Gen. Benjamin Madrigal is the 30th Infantry Battalion of the Army to conduct rescue operations in areas damaged by the city's earthquake and other parts of Surigao del Norte."
Sinasabing mula 2004 ay gamit na ng asawa ni Cesante ang naturang commercial space kahit walang kontrata o bayad.,It is said from 2004 that Cessante's wife is already using such commercial space without any contract or fee.
"Dahil dito, sinabi ni Evangelista na dapat masampolan din ng pulisya sa pangunguna ng DILG ang mga big time drug personalities upang mapatunayang hindi pakitang-tao lamang ang kanilang ginagawa.","As a result, Evangelista said the police should also pounce on the DILG leadership of Big Time Drug Personalities to prove that they are not just doing."
"MANILA, Philippines -- Muling binuksan sa trapiko ang mga entry at exit sa kahabaan ng North Luzon Expressway (NLEX) at Subic-Clark-Tarlac Expressway (SCTEX) na pansamantalang isinara matapos ipatupad ang Enhanced Community Quarantine sa buong Luzon.","Manila, Philippines - Entries and exits reopen the traffic and exits along the North Luzon Expressway (NLEX) and SUBIC-Clark-Tarlac Expressway (SCTEX) to be temporarily closed after Enhanced Community Quarantine throughout Luzon."
"Magugunita, nakunan ng plate number na 8 ang mga suspect sa pagbobomba sa Kongreso kamakailan.","Recall, the plate number 8 captured suspects at the bombing of Congress recently."
